BLIMP Evaluation Results (Ollama)
Model,qwen2.5:3b
Overall Accuracy,96.00%
Correct,48
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,95.83%,23,24
SELECTIONAL_PREFERENCE,96.15%,25,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,2.5000,-1.0000,3.5000,✓
2,ARG_STRUCTURE,edibility,She ate the apple.,She ate the computer.,2.5000,-2.5000,5.0000,✓
3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,2.5000,-2.5000,5.0000,✓
4,ARG_STRUCTURE,animacy_subject,The teacher bought the laptop.,The laptop bought the teacher.,2.5000,-2.5000,5.0000,✓
5,SELECTIONAL_PREFERENCE,verb_object_match,She read the book.,She drank the book.,2.5000,-2.5000,5.0000,✓
6,SELECTIONAL_PREFERENCE,concreteness,He painted the wall.,He painted the idea.,-1.0000,-2.5000,1.5000,✓
7,SELECTIONAL_PREFERENCE,physical_entity,The dog chased the cat.,The dog chased the theory.,2.5000,-2.5000,5.0000,✓
8,SELECTIONAL_PREFERENCE,physical_action,She opened the door.,She opened the democracy.,2.5000,-2.5000,5.0000,✓
9,SELECTIONAL_PREFERENCE,wearability,He wore a hat.,He wore a building.,2.5000,-2.5000,5.0000,✓
10,SELECTIONAL_PREFERENCE,abstractness,They discussed the problem.,They discussed the rock.,2.5000,1.5000,1.0000,✓
11,ARG_STRUCTURE,agent_patient_reversal,The student wrote an essay.,The essay wrote a student.,2.5000,-2.5000,5.0000,✓
12,SELECTIONAL_PREFERENCE,liquid_requirement,She drinks water every day.,She drinks furniture every day.,2.5000,-2.5000,5.0000,✓
13,SELECTIONAL_PREFERENCE,climbability,He climbed the mountain.,He climbed the thought.,2.5000,-2.5000,5.0000,✓
14,ARG_STRUCTURE,causative_direction,The chef cooked the meal.,The meal cooked the chef.,2.5000,-2.5000,5.0000,✓
15,SELECTIONAL_PREFERENCE,information_object,She answered the question.,She answered the table.,2.5000,-2.5000,5.0000,✓
16,SELECTIONAL_PREFERENCE,physical_breakability,He broke the glass.,He broke the hope.,2.5000,-2.5000,5.0000,✓
17,ARG_STRUCTURE,animacy_subject_emotion,The baby cried loudly.,The rock cried loudly.,2.5000,-1.5000,4.0000,✓
18,ARG_STRUCTURE,manipulability,She picked up the pen.,She picked up the sky.,2.5000,-2.5000,5.0000,✓
19,SELECTIONAL_PREFERENCE,auditory_object,He listened to music.,He listened to color.,2.5000,-2.5000,5.0000,✓
20,ARG_STRUCTURE,creation_reversal,The artist drew a picture.,The picture drew an artist.,2.5000,-2.5000,5.0000,✓
21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,2.5000,2.5000,0.0000,✗
22,SELECTIONAL_PREFERENCE,olfactory_object,He smelled the flowers.,He smelled the mathematics.,2.5000,-2.5000,5.0000,✓
23,ARG_STRUCTURE,instruction_direction,The teacher taught the lesson.,The lesson taught the teacher.,2.5000,-2.5000,5.0000,✓
24,SELECTIONAL_PREFERENCE,foldability,She folded the paper.,She folded the water.,2.5000,-2.5000,5.0000,✓
25,SELECTIONAL_PREFERENCE,physical_repair,He repaired the car.,He repaired the democracy.,2.5000,-2.5000,5.0000,✓
26,ARG_STRUCTURE,agent_patient,The child played with toys.,The toys played with child.,2.5000,-2.5000,5.0000,✓
27,SELECTIONAL_PREFERENCE,literal_planting,She planted the seeds.,She planted the ideas.,2.5000,-2.5000,5.0000,✓
28,SELECTIONAL_PREFERENCE,physical_catching,He caught the fish.,He caught the concept.,2.5000,-1.0000,3.5000,✓
29,ARG_STRUCTURE,force_direction,The wind blew the leaves.,The leaves blew the wind.,2.5000,-2.5000,5.0000,✓
30,SELECTIONAL_PREFERENCE,physical_closure,She closed the window.,She closed the freedom.,2.5000,-2.5000,5.0000,✓
31,SELECTIONAL_PREFERENCE,measurable_quantity,He measured the distance.,He measured the happiness.,2.5000,-2.5000,5.0000,✓
32,ARG_STRUCTURE,discovery_direction,The scientist discovered a cure.,The cure discovered a scientist.,2.5000,-2.5000,5.0000,✓
33,SELECTIONAL_PREFERENCE,pourability,She poured the juice.,She poured the solid.,2.5000,-2.5000,5.0000,✓
34,ARG_STRUCTURE,vehicle_control,He drove the car.,The car drove him.,2.5000,-2.5000,5.0000,✓
35,ARG_STRUCTURE,thermal_causation,The sun melted the ice.,The ice melted the sun.,-2.5000,-2.5000,0.0000,✗
36,SELECTIONAL_PREFERENCE,washability,She washed the dishes.,She washed the thoughts.,2.5000,-2.5000,5.0000,✓
37,ARG_STRUCTURE,problem_solver,He solved the puzzle.,The puzzle solved him.,2.5000,-2.5000,5.0000,✓
38,ARG_STRUCTURE,professional_role,The doctor examined the patient.,The patient examined the doctor.,2.5000,-2.5000,5.0000,✓
39,SELECTIONAL_PREFERENCE,physical_cutting,She cut the bread.,She cut the silence.,2.5000,-1.0000,3.5000,✓
40,ARG_STRUCTURE,construction_agent,He built the house.,The house built him.,2.5000,-2.5000,5.0000,✓
41,ARG_STRUCTURE,wetting_direction,The rain wet the ground.,The ground wet the rain.,2.5000,-2.5000,5.0000,✓
42,ARG_STRUCTURE,cognitive_agent,She memorized the poem.,The poem memorized her.,2.5000,-2.5000,5.0000,✓
43,SELECTIONAL_PREFERENCE,lockability,He locked the door.,He locked the freedom.,2.5000,-2.5000,5.0000,✓
44,ARG_STRUCTURE,evaluation_direction,The teacher graded the tests.,The tests graded the teacher.,2.5000,-2.5000,5.0000,✓
45,SELECTIONAL_PREFERENCE,groomability,She combed her hair.,She combed her thoughts.,2.5000,-2.5000,5.0000,✓
46,SELECTIONAL_PREFERENCE,physical_lifting,He lifted the box.,He lifted the sadness.,2.5000,-2.5000,5.0000,✓
47,ARG_STRUCTURE,combustion_direction,The fire burned the wood.,The wood burned the fire.,2.5000,-2.5000,5.0000,✓
48,ARG_STRUCTURE,text_creation,She typed the letter.,The letter typed her.,2.5000,-2.5000,5.0000,✓
49,SELECTIONAL_PREFERENCE,sharpenability,He sharpened the knife.,He sharpened the water.,2.5000,-2.5000,5.0000,✓
50,ARG_STRUCTURE,harvesting_agent,The farmer harvested the crops.,The crops harvested the farmer.,2.5000,-2.5000,5.0000,✓
