model,model_type,pair_id,category,phenomenon,good_sentence,bad_sentence,good_score,bad_score,score_difference,correct,time_taken
mistral:latest,mlm,1,island_effects,adjunct_island,Who should Derek hug after shocking Richard?,Who should Derek hug Richard after shocking?,2.5,0.0,2.5,True,19.67538571357727
mistral:latest,mlm,2,island_effects,adjunct_island,What had Theresa walked through while talking about that high school?,What had Theresa walked through that high school while talking about?,1.5,1.25,0.25,True,0.844008207321167
mistral:latest,mlm,3,island_effects,adjunct_island,Who will Katherine discover without hiring Erin?,Who will Katherine discover Erin without hiring?,0.75,-1.0,1.75,True,1.1410799026489258
mistral:latest,mlm,4,island_effects,adjunct_island,Who has Colleen aggravated before kissing Judy?,Who has Colleen aggravated Judy before kissing?,1.25,0.0,1.25,True,0.936232328414917
mistral:latest,mlm,5,island_effects,adjunct_island,What could a lot of cats break while finding all convertibles?,What could a lot of cats break all convertibles while finding?,0.75,-1.0,1.75,True,0.846276044845581
mistral:latest,mlm,6,island_effects,adjunct_island,Who have most people discovered while embarrassing Erin?,Who have most people discovered Erin while embarrassing?,1.0,-1.0,2.0,True,0.7255449295043945
mistral:latest,mlm,7,island_effects,adjunct_island,Who was William firing before talking about Maria?,Who was William firing Maria before talking about?,0.5,-1.5,2.0,True,0.748380184173584
mistral:latest,mlm,8,island_effects,adjunct_island,What is Denise descending while hiding a lot of hills?,What is Denise descending a lot of hills while hiding?,-1.0,0.75,-1.75,False,0.870154857635498
mistral:latest,mlm,9,island_effects,adjunct_island,Who does John leave while alarming Beverly?,Who does John leave Beverly while alarming?,-1.0,-1.5,0.5,True,0.8268890380859375
mistral:latest,mlm,10,island_effects,adjunct_island,What was Melanie going to after taking those rivers?,What was Melanie going to those rivers after taking?,0.75,0.0,0.75,True,0.8498139381408691
mistral:latest,mlm,11,island_effects,adjunct_island,Who could Bethany research before discussing Winston Churchill?,Who could Bethany research Winston Churchill before discussing?,1.75,1.75,0.0,False,0.9393608570098877
mistral:latest,mlm,12,island_effects,adjunct_island,What could Jessica sell before noticing these spotlights?,What could Jessica sell these spotlights before noticing?,1.5,0.75,0.75,True,0.8498423099517822
mistral:latest,mlm,13,island_effects,adjunct_island,What had Helen biked to without bothering Spain?,What had Helen biked to Spain without bothering?,-2.5,-2.5,0.0,False,0.751248836517334
mistral:latest,mlm,14,island_effects,adjunct_island,Who is Mary irritating after approaching Kenneth?,Who is Mary irritating Kenneth after approaching?,1.25,-1.0,2.25,True,0.916234016418457
mistral:latest,mlm,15,island_effects,adjunct_island,Who might Rose flee from before returning to this customer?,Who might Rose flee from this customer before returning to?,1.75,1.25,0.5,True,0.9360578060150146
mistral:latest,mlm,16,island_effects,adjunct_island,What will Janice research after boasting about politics?,What will Janice research politics after boasting about?,1.5,1.25,0.25,True,0.8380439281463623
mistral:latest,mlm,17,island_effects,adjunct_island,Who had Karla aggravated without finding Donald?,Who had Karla aggravated Donald without finding?,0.5,-1.0,1.5,True,0.7509200572967529
mistral:latest,mlm,18,island_effects,adjunct_island,Who should a government reference before shocking Jesus?,Who should a government reference Jesus before shocking?,-2.5,-1.0,-1.5,False,0.7450311183929443
mistral:latest,mlm,19,island_effects,adjunct_island,What had Aaron sounded like while cleaning the museum?,What had Aaron sounded like the museum while cleaning?,0.5,-1.0,1.5,True,0.7400729656219482
mistral:latest,mlm,20,island_effects,adjunct_island,What is Brenda arriving at while exiting many schools?,What is Brenda arriving at many schools while exiting?,0.75,-1.5,2.25,True,0.8351550102233887
mistral:latest,mlm,21,island_effects,adjunct_island,Who is a window hurting without disturbing Sabrina?,Who is a window hurting Sabrina without disturbing?,-2.5,-2.5,0.0,False,0.7483320236206055
