Rank,Sentence,Log Probability,Normalized Score,Word Count
1,I bit off more than I could chew.,-16.4908,-2.0614,8
2,She hit the nail on the head.,-15.5889,-2.2270,7
3,They let the cat out of the bag.,-20.1599,-2.5200,8
4,I wrote a letter to my friend.,-23.7700,-3.3957,7
5,The dolphin jumped out of the water.,-24.5677,-3.5097,7
6,I listened to music on my phone.,-24.7635,-3.5376,7
7,The sun rises in the east.,-21.5138,-3.5856,6
8,The children played in the park.,-22.3637,-3.7273,6
9,He lost his mind.,-15.5017,-3.8754,4
10,Rain falls from the clouds.,-19.8378,-3.9676,5
11,She read a book before bed.,-24.0512,-4.0085,6
12,He put the mountain in his pocket.,-28.7252,-4.1036,7
13,They walked along the beach.,-20.5218,-4.1044,5
14,The doctor examined the patient.,-21.0119,-4.2024,5
15,She cooked dinner for the family.,-25.4148,-4.2358,6
16,She answered the phone quickly.,-21.2207,-4.2441,5
17,The baby cried for her mother.,-26.0420,-4.3403,6
18,The students took notes in class.,-26.0807,-4.3468,6
19,The eagle soared through the sky.,-26.1108,-4.3518,6
20,I caught her eye across the room.,-30.6825,-4.3832,7
21,Yesterday will happen tomorrow.,-17.6259,-4.4065,4
22,She saw the smell of roses.,-26.4557,-4.4093,6
23,He drinks coffee every morning.,-22.2642,-4.4528,5
24,She ate breakfast this morning.,-22.2770,-4.4554,5
25,The cat sat on the mat.,-27.0150,-4.5025,6
26,They discussed the economic situation.,-22.6169,-4.5234,5
27,I bought groceries at the store.,-27.1435,-4.5239,6
28,He kicked the bucket.,-18.2107,-4.5527,4
29,I spilled the beans about the surprise.,-31.9837,-4.5691,7
30,The fish swam in the ocean.,-27.5976,-4.5996,6
31,She planted seeds in the garden.,-27.6460,-4.6077,6
32,She broke his heart.,-18.4579,-4.6145,4
33,He touched the sound of thunder.,-27.6921,-4.6153,6
34,The horse galloped across the field.,-28.0353,-4.6725,6
35,He cleaned the kitchen after dinner.,-28.0590,-4.6765,6
36,Birds fly in the sky.,-23.5567,-4.7113,5
37,He painted the living room walls.,-28.4162,-4.7360,6
38,They analyzed the historical data.,-23.7698,-4.7540,5
39,I heard the taste of chocolate.,-28.6429,-4.7738,6
40,They saw the loudness of the concert.,-33.4660,-4.7809,7
41,She tasted the sound of music.,-28.9525,-4.8254,6
42,They stored the bridge in a drawer.,-33.8143,-4.8306,7
43,She jumped the gun.,-19.5498,-4.8874,4
44,Time flies when you're having fun.,-29.3396,-4.8899,6
45,She tasted the brightness of light.,-29.4132,-4.9022,6
46,The bear hibernated in the cave.,-29.6148,-4.9358,6
47,I hid the stadium under my bed.,-34.5567,-4.9367,7
48,The turtle moved slowly across the sand.,-34.8046,-4.9721,7
49,The future occurred in the past.,-29.9740,-4.9957,6
50,He diagnosed the medical condition.,-25.0238,-5.0048,5
51,She threw away the opportunity.,-25.1069,-5.0214,5
52,The teacher explained the lesson.,-25.1390,-5.0278,5
53,He drove to work yesterday.,-25.2131,-5.0426,5
54,She packed the desert in a box.,-35.6460,-5.0923,7
55,He listened to the color red.,-30.7390,-5.1232,6
56,Tomorrow happened yesterday.,-15.4520,-5.1507,3
57,She memorized the entire poem.,-25.7795,-5.1559,5
58,He fixed the broken computer.,-25.8370,-5.1674,5
59,She solved the mathematical equation.,-26.0279,-5.2056,5
60,The architect designed the building.,-26.0334,-5.2067,5
61,The dog barked at the mailman.,-31.3215,-5.2202,6
62,I listened to the temperature.,-26.1470,-5.2294,5
63,The lion roared in the jungle.,-31.5641,-5.2607,6
64,The chef prepared an elaborate meal.,-31.7336,-5.2889,6
65,They buried the hatchet.,-21.3227,-5.3307,4
66,The artist painted a beautiful landscape.,-32.0026,-5.3338,6
67,They killed time at the cafe.,-32.0910,-5.3485,6
68,She translated the ancient text.,-27.0547,-5.4109,5
69,The snake slithered under the rock.,-32.6192,-5.4365,6
70,I smelled the texture of silk.,-32.7164,-5.4527,6
71,He remembered things that haven't happened.,-32.7605,-5.4601,6
72,The scientist conducted an important experiment.,-32.8170,-5.4695,6
73,The butterfly landed on the flower.,-32.8550,-5.4758,6
74,They felt the color blue.,-27.5208,-5.5042,5
75,He pulled her leg.,-22.1878,-5.5469,4
76,The concept walked down the street.,-33.2892,-5.5482,6
77,The flowers bloomed in spring.,-28.0325,-5.6065,5
78,He ate the table.,-22.4448,-5.6112,4
79,They smelled the feeling of joy.,-33.6999,-5.6166,6
80,He threw the moon.,-22.5103,-5.6276,4
81,Love drank some water.,-22.5245,-5.6311,4
82,He burned his bridges.,-22.5583,-5.6396,4
83,Fear painted the house.,-22.6894,-5.6723,4
84,He heard the softness of cotton.,-34.1124,-5.6854,6
85,I foresaw the past.,-22.8148,-5.7037,4
86,He tasted the darkness.,-22.8585,-5.7146,4
87,The light dimmed the darkness.,-28.6861,-5.7372,5
88,The rabbit hopped through the grass.,-34.4447,-5.7408,6
89,She saw the aroma.,-23.2789,-5.8197,4
90,The food ate the person.,-29.2601,-5.8520,5
91,She recalled the future.,-23.4549,-5.8637,4
92,They negotiated the business contract.,-29.3705,-5.8741,5
93,They ate the building.,-23.5477,-5.8869,4
94,The bee pollinated the flowers.,-29.5078,-5.9016,5
95,I heard the flavor.,-23.6345,-5.9086,4
96,The cold heated the stove.,-29.6215,-5.9243,5
97,He repaired the antique clock.,-29.6367,-5.9273,5
98,Freedom kicked the door.,-23.9631,-5.9908,4
99,She read the mountain.,-24.2069,-6.0517,4
100,The car drove the man.,-30.3363,-6.0673,5
101,She swallowed the sun.,-24.2883,-6.0721,4
102,Truth drove a car.,-24.3041,-6.0760,4
103,The silence made loud noises.,-30.5672,-6.1134,5
104,The spider spun a web.,-30.5765,-6.1153,5
105,They caught the galaxy.,-24.6588,-6.1647,4
106,He carried the planet.,-24.6746,-6.1686,4
107,The ice melted the fire.,-30.9304,-6.1861,5
108,He felt the melody.,-24.7587,-6.1897,4
109,They cooked the stone.,-24.7704,-6.1926,4
110,I drank the ocean.,-24.8075,-6.2019,4
111,They tasted the shadow.,-24.8125,-6.2031,4
112,The emptiness filled the container.,-31.1350,-6.2270,5
113,He broke the freedom.,-24.9102,-6.2276,4
114,I opened the concept.,-24.9124,-6.2281,4
115,The medicine cured the doctor.,-31.2021,-6.2404,5
116,She smelled the silence.,-24.9832,-6.2458,4
117,She lifted the entire city.,-31.3165,-6.2633,5
118,She forgot events that will occur.,-37.7140,-6.2857,6
119,He constructed a wooden birdhouse.,-31.7553,-6.3511,5
120,Justice threw a ball.,-25.4321,-6.3580,4
121,She pushed the mountain range.,-31.8197,-6.3639,5
122,She closed the theory.,-25.5651,-6.3913,4
123,I wore the water.,-25.5943,-6.3986,4
124,The movie watched the audience.,-31.9976,-6.3995,5
125,He pulled the entire forest.,-32.1391,-6.4278,5
126,They sold the anger.,-26.0755,-6.5189,4
127,The wall gave John the button.,-39.1604,-6.5267,6
128,The story wrote the author.,-32.6489,-6.5298,5
129,He anticipated the history.,-26.2252,-6.5563,4
130,She drank the chair.,-26.2616,-6.5654,4
131,They touched the echo.,-26.2979,-6.5745,4
132,The musician composed a symphony.,-33.2611,-6.6522,5
133,Courage swam in the pool.,-33.3317,-6.6663,5
134,I squeezed the earth.,-26.7174,-6.6794,4
135,Beauty wore a hat.,-26.7686,-6.6921,4
136,The water burned the match.,-33.5107,-6.7021,5
137,The frog croaked by the pond.,-40.2873,-6.7146,6
138,The question answered the student.,-33.7778,-6.7556,5
139,Anger built a bridge.,-27.0331,-6.7583,4
