BLIMP Evaluation Results (Ollama)
Model,llama3.1:8b
Overall Accuracy,96.00%
Correct,48
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,100.00%,24,24
SELECTIONAL_PREFERENCE,92.31%,24,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,2.0000,-1.5000,3.5000,✓
2,ARG_STRUCTURE,edibility,She ate the apple.,She ate the computer.,2.0000,-1.5000,3.5000,✓
3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,2.0000,-1.5000,3.5000,✓
4,ARG_STRUCTURE,animacy_subject,The teacher bought the laptop.,The laptop bought the teacher.,2.0000,-1.5000,3.5000,✓
5,SELECTIONAL_PREFERENCE,verb_object_match,She read the book.,She drank the book.,2.0000,-1.5000,3.5000,✓
6,SELECTIONAL_PREFERENCE,concreteness,He painted the wall.,He painted the idea.,2.0000,1.5000,0.5000,✓
7,SELECTIONAL_PREFERENCE,physical_entity,The dog chased the cat.,The dog chased the theory.,2.0000,-1.5000,3.5000,✓
8,SELECTIONAL_PREFERENCE,physical_action,She opened the door.,She opened the democracy.,2.0000,-1.5000,3.5000,✓
9,SELECTIONAL_PREFERENCE,wearability,He wore a hat.,He wore a building.,2.0000,-1.5000,3.5000,✓
10,SELECTIONAL_PREFERENCE,abstractness,They discussed the problem.,They discussed the rock.,2.0000,1.5000,0.5000,✓
11,ARG_STRUCTURE,agent_patient_reversal,The student wrote an essay.,The essay wrote a student.,2.0000,-1.5000,3.5000,✓
12,SELECTIONAL_PREFERENCE,liquid_requirement,She drinks water every day.,She drinks furniture every day.,2.0000,-1.5000,3.5000,✓
13,SELECTIONAL_PREFERENCE,climbability,He climbed the mountain.,He climbed the thought.,2.0000,-1.5000,3.5000,✓
14,ARG_STRUCTURE,causative_direction,The chef cooked the meal.,The meal cooked the chef.,2.0000,-1.5000,3.5000,✓
15,SELECTIONAL_PREFERENCE,information_object,She answered the question.,She answered the table.,2.0000,-1.5000,3.5000,✓
16,SELECTIONAL_PREFERENCE,physical_breakability,He broke the glass.,He broke the hope.,2.0000,1.5000,0.5000,✓
17,ARG_STRUCTURE,animacy_subject_emotion,The baby cried loudly.,The rock cried loudly.,2.0000,-1.5000,3.5000,✓
18,ARG_STRUCTURE,manipulability,She picked up the pen.,She picked up the sky.,2.0000,-1.5000,3.5000,✓
19,SELECTIONAL_PREFERENCE,auditory_object,He listened to music.,He listened to color.,2.0000,-1.5000,3.5000,✓
20,ARG_STRUCTURE,creation_reversal,The artist drew a picture.,The picture drew an artist.,2.0000,-1.5000,3.5000,✓
21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,2.0000,2.0000,0.0000,✗
22,SELECTIONAL_PREFERENCE,olfactory_object,He smelled the flowers.,He smelled the mathematics.,2.0000,-1.5000,3.5000,✓
23,ARG_STRUCTURE,instruction_direction,The teacher taught the lesson.,The lesson taught the teacher.,2.0000,1.5000,0.5000,✓
24,SELECTIONAL_PREFERENCE,foldability,She folded the paper.,She folded the water.,2.0000,1.5000,0.5000,✓
25,SELECTIONAL_PREFERENCE,physical_repair,He repaired the car.,He repaired the democracy.,2.0000,1.5000,0.5000,✓
26,ARG_STRUCTURE,agent_patient,The child played with toys.,The toys played with child.,2.0000,-1.5000,3.5000,✓
