Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Unknown Good,Unknown Bad,Unknown Result,llama3.1:8b Good,llama3.1:8b Bad,llama3.1:8b Result,qwen2.5:3b Good,qwen2.5:3b Bad,qwen2.5:3b Result,Unknown Good,Unknown Bad,Unknown Result
1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,-28.88,-29.19,✓,2.00,-1.50,✓,2.50,-1.00,✓,-38.12,-35.52,✗
2,ARG_STRUCTURE,edibility,She ate the apple.,She ate the computer.,-20.09,-24.47,✓,2.00,-1.50,✓,2.50,-2.50,✓,-27.88,-28.45,✓
3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,-21.53,-27.79,✓,2.00,-1.50,✓,2.50,-2.50,✓,-35.41,-34.33,✗
4,ARG_STRUCTURE,animacy_subject,The teacher bought the laptop.,The laptop bought the teacher.,-29.93,-40.48,✓,2.00,-1.50,✓,2.50,-2.50,✓,-35.21,-46.39,✓
5,SELECTIONAL_PREFERENCE,verb_object_match,She read the book.,She drank the book.,-14.95,-23.90,✓,2.00,-1.50,✓,2.50,-2.50,✓,-26.30,-30.04,✓
6,SELECTIONAL_PREFERENCE,concreteness,He painted the wall.,He painted the idea.,-21.14,-23.89,✓,2.00,1.50,✓,-1.00,-2.50,✓,-31.94,-32.07,✓
7,SELECTIONAL_PREFERENCE,physical_entity,The dog chased the cat.,The dog chased the theory.,-25.90,-35.34,✓,2.00,-1.50,✓,2.50,-2.50,✓,-36.24,-42.34,✓
8,SELECTIONAL_PREFERENCE,physical_action,She opened the door.,She opened the democracy.,-13.26,-28.41,✓,2.00,-1.50,✓,2.50,-2.50,✓,-24.81,-33.53,✓
9,SELECTIONAL_PREFERENCE,wearability,He wore a hat.,He wore a building.,-19.39,-27.82,✓,2.00,-1.50,✓,2.50,-2.50,✓,-31.07,-31.11,✓
10,SELECTIONAL_PREFERENCE,abstractness,They discussed the problem.,They discussed the rock.,-18.63,-25.17,✓,2.00,1.50,✓,2.50,1.50,✓,-28.78,-33.15,✓
11,ARG_STRUCTURE,agent_patient_reversal,The student wrote an essay.,The essay wrote a student.,-25.77,-38.98,✓,2.00,-1.50,✓,2.50,-2.50,✓,-28.89,-39.65,✓
12,SELECTIONAL_PREFERENCE,liquid_requirement,She drinks water every day.,She drinks furniture every day.,-22.71,-31.33,✓,2.00,-1.50,✓,2.50,-2.50,✓,-41.31,-45.82,✓
