BLIMP Evaluation Results (Ollama)

Comparative Summary
Model,Accuracy,Correct,Total,Avg Time/Pair (s)
mistral:latest,100.00%,18,18,6.13
phi3.5:latest,94.44%,17,18,6.56
llama3.1:8b,77.78%,14,18,14.97
qwen2.5:7b,94.44%,17,18,1.96
gpt2,88.89%,16,18,0.13
roberta-base,22.22%,4,18,0.16

Pair-wise Results
Model,Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct,Time Taken
mistral:latest,1,default,N/A,I gave John the button.,I gave John the wall.,10.0000,2.0000,8.0000,✓,24.5349
mistral:latest,2,default,N/A,She ate the apple.,She ate the computer.,10.0000,0.0000,10.0000,✓,2.1332
mistral:latest,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,10.0000,0.0000,10.0000,✓,2.4162
mistral:latest,4,default,N/A,I used to play chess,I used to play pills,10.0000,0.0000,10.0000,✓,3.0626
mistral:latest,5,default,N/A,I handed over a book to him,I handed over a wall to him,10.0000,2.0000,8.0000,✓,8.2044
mistral:latest,6,default,N/A,I eat biscuit with tea,I eat plate with tea,8.0000,2.0000,6.0000,✓,12.7829
mistral:latest,7,default,N/A,I ordered a cycle,I ordered a mountain,8.0000,2.0000,6.0000,✓,7.5080
mistral:latest,8,default,N/A,I gave him a button,I gave him a bridge,10.0000,8.0000,2.0000,✓,5.5738
mistral:latest,9,default,N/A,I ate a tablet,I ate an iPad,8.0000,0.0000,8.0000,✓,6.8328
mistral:latest,10,default,N/A,He and I drank coffee together,He and I drank stones together,10.0000,2.0000,8.0000,✓,4.5509
mistral:latest,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,9.0000,2.0000,7.0000,✓,9.1259
mistral:latest,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,10.0000,2.0000,8.0000,✓,2.6164
mistral:latest,13,default,N/A,She read the book,She drank the book,10.0000,1.0000,9.0000,✓,2.3873
mistral:latest,14,default,N/A,He painted the wall,He painted the time,10.0000,0.0000,10.0000,✓,3.5636
mistral:latest,15,default,N/A,She drinks water every day,She drinks furniture every day,10.0000,0.0000,10.0000,✓,2.6328
mistral:latest,16,default,N/A,I answered the question,I answered the skyscraper,10.0000,2.0000,8.0000,✓,1.7795
mistral:latest,17,default,N/A,She picked up a pen,She picked up the sky,10.0000,0.0000,10.0000,✓,2.2197
mistral:latest,18,default,N/A,He poured a juice,He poured a tree,8.0000,0.0000,8.0000,✓,8.3945
phi3.5:latest,1,default,N/A,I gave John the button.,I gave John the wall.,9.0000,3.0000,6.0000,✓,17.3299
phi3.5:latest,2,default,N/A,She ate the apple.,She ate the computer.,10.0000,0.0000,10.0000,✓,4.7229
phi3.5:latest,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,10.0000,0.0000,10.0000,✓,5.0576
phi3.5:latest,4,default,N/A,I used to play chess,I used to play pills,10.0000,0.0000,10.0000,✓,5.8490
phi3.5:latest,5,default,N/A,I handed over a book to him,I handed over a wall to him,10.0000,0.0000,10.0000,✓,5.1271
