model,model_type,pair_id,category,phenomenon,good_sentence,bad_sentence,good_score,bad_score,score_difference,correct
gpt2,clm,1,island_effects,adjunct_island,Who should Derek hug after shocking Richard?,Who should Derek hug Richard after shocking?,-57.822784423828125,-61.618736267089844,3.7959518432617188,True
gpt2,clm,2,island_effects,adjunct_island,What had Theresa walked through while talking about that high school?,What had Theresa walked through that high school while talking about?,-62.834842681884766,-63.70473861694336,0.8698959350585938,True
gpt2,clm,3,island_effects,adjunct_island,Who will Katherine discover without hiring Erin?,Who will Katherine discover Erin without hiring?,-57.09541320800781,-60.76402282714844,3.668609619140625,True
gpt2,clm,4,island_effects,adjunct_island,Who has Colleen aggravated before kissing Judy?,Who has Colleen aggravated Judy before kissing?,-58.88996124267578,-64.16024780273438,5.270286560058594,True
gpt2,clm,5,island_effects,adjunct_island,What could a lot of cats break while finding all convertibles?,What could a lot of cats break all convertibles while finding?,-71.33592224121094,-76.49359130859375,5.1576690673828125,True
gpt2,clm,6,island_effects,adjunct_island,Who have most people discovered while embarrassing Erin?,Who have most people discovered Erin while embarrassing?,-64.67332458496094,-64.343017578125,-0.3303070068359375,False
gpt2,clm,7,island_effects,adjunct_island,Who was William firing before talking about Maria?,Who was William firing Maria before talking about?,-56.36555099487305,-62.50572967529297,6.140178680419922,True
gpt2,clm,8,island_effects,adjunct_island,What is Denise descending while hiding a lot of hills?,What is Denise descending a lot of hills while hiding?,-68.56693267822266,-63.72609329223633,-4.840839385986328,False
gpt2,clm,9,island_effects,adjunct_island,Who does John leave while alarming Beverly?,Who does John leave Beverly while alarming?,-55.75680923461914,-62.588958740234375,6.832149505615234,True
gpt2,clm,10,island_effects,adjunct_island,What was Melanie going to after taking those rivers?,What was Melanie going to those rivers after taking?,-61.024658203125,-62.681884765625,1.6572265625,True
gpt2,clm,11,island_effects,adjunct_island,Who could Bethany research before discussing Winston Churchill?,Who could Bethany research Winston Churchill before discussing?,-62.243045806884766,-68.6144790649414,6.371433258056641,True
gpt2,clm,12,island_effects,adjunct_island,What could Jessica sell before noticing these spotlights?,What could Jessica sell these spotlights before noticing?,-60.074066162109375,-63.8267707824707,3.752704620361328,True
gpt2,clm,13,island_effects,adjunct_island,What had Helen biked to without bothering Spain?,What had Helen biked to Spain without bothering?,-60.45677947998047,-56.76842498779297,-3.6883544921875,False
gpt2,clm,14,island_effects,adjunct_island,Who is Mary irritating after approaching Kenneth?,Who is Mary irritating Kenneth after approaching?,-60.798648834228516,-64.27169799804688,3.4730491638183594,True
gpt2,clm,15,island_effects,adjunct_island,Who might Rose flee from before returning to this customer?,Who might Rose flee from this customer before returning to?,-65.58541870117188,-68.5184555053711,2.9330368041992188,True
