Rank,Sentence,Log Probability,Normalized Score,Word Count
1,I wrote a letter to my friend.,-29.8181,-4.2597,7
2,I listened to music on my phone.,-30.8580,-4.4083,7
3,They let the cat out of the bag.,-35.5012,-4.4376,8
4,I bit off more than I could chew.,-39.7649,-4.9706,8
5,The children played in the park.,-30.4686,-5.0781,6
6,The dolphin jumped out of the water.,-35.6523,-5.0932,7
7,The sun rises in the east.,-30.9851,-5.1642,6
8,She hit the nail on the head.,-38.1650,-5.4521,7
9,He put the mountain in his pocket.,-38.4055,-5.4865,7
10,The baby cried for her mother.,-33.2997,-5.5500,6
11,I hid the stadium under my bed.,-39.3887,-5.6270,7
12,She cooked dinner for the family.,-33.8569,-5.6428,6
13,He cleaned the kitchen after dinner.,-33.8942,-5.6490,6
14,The future occurred in the past.,-33.9215,-5.6536,6
15,He listened to the color red.,-34.0974,-5.6829,6
16,I heard the taste of chocolate.,-34.2425,-5.7071,6
17,They stored the bridge in a drawer.,-40.0040,-5.7149,7
18,She read a book before bed.,-34.3262,-5.7210,6
19,The fish swam in the ocean.,-34.6002,-5.7667,6
20,The students took notes in class.,-35.3646,-5.8941,6
21,The cat sat on the mat.,-35.4103,-5.9017,6
22,He touched the sound of thunder.,-35.4366,-5.9061,6
23,They saw the loudness of the concert.,-41.5498,-5.9357,7
24,I caught her eye across the room.,-41.7222,-5.9603,7
25,He heard the softness of cotton.,-36.2173,-6.0362,6
26,She packed the desert in a box.,-42.4765,-6.0681,7
27,Birds fly in the sky.,-30.3543,-6.0709,5
28,She threw away the opportunity.,-30.5223,-6.1045,5
29,I spilled the beans about the surprise.,-42.8828,-6.1261,7
30,She planted seeds in the garden.,-36.9378,-6.1563,6
31,I bought groceries at the store.,-37.0811,-6.1802,6
32,The lion roared in the jungle.,-37.0990,-6.1832,6
33,They discussed the economic situation.,-30.9479,-6.1896,5
34,She tasted the sound of music.,-37.3632,-6.2272,6
35,He painted the living room walls.,-37.5191,-6.2532,6
36,I smelled the texture of silk.,-37.7648,-6.2941,6
37,She saw the smell of roses.,-38.0389,-6.3398,6
38,The eagle soared through the sky.,-38.2740,-6.3790,6
39,They walked along the beach.,-31.9567,-6.3913,5
40,She lifted the entire city.,-32.6442,-6.5288,5
41,Rain falls from the clouds.,-32.7651,-6.5530,5
42,The artist painted a beautiful landscape.,-39.5605,-6.5934,6
43,Time flies when you're having fun.,-39.8143,-6.6357,6
44,The turtle moved slowly across the sand.,-46.4769,-6.6396,7
45,Courage swam in the pool.,-33.3464,-6.6693,5
46,The butterfly landed on the flower.,-40.0324,-6.6721,6
47,She tasted the brightness of light.,-40.1364,-6.6894,6
48,They killed time at the cafe.,-40.3222,-6.7204,6
49,She forgot events that will occur.,-40.4520,-6.7420,6
50,The concept walked down the street.,-40.7386,-6.7898,6
51,I listened to the temperature.,-34.0957,-6.8191,5
52,The doctor examined the patient.,-34.1071,-6.8214,5
53,He remembered things that haven't happened.,-41.2677,-6.8779,6
54,He drove to work yesterday.,-34.4625,-6.8925,5
55,The teacher explained the lesson.,-34.9785,-6.9957,5
56,The scientist conducted an important experiment.,-42.2839,-7.0473,6
57,The rabbit hopped through the grass.,-42.3307,-7.0551,6
58,The song sang the singer.,-35.3251,-7.0650,5
59,She answered the phone quickly.,-35.8094,-7.1619,5
60,They smelled the feeling of joy.,-43.0970,-7.1828,6
61,She translated the ancient text.,-35.9965,-7.1993,5
62,The book read the student.,-36.0698,-7.2140,5
63,He carried the planet.,-28.9246,-7.2312,4
