BLIMP Evaluation Results (Ollama)

Comparative Summary
Model,Accuracy,Correct,Total,Avg Time/Pair (s)
gpt2:latest,5.56%,1,18,4.49

Pair-wise Results
Model,Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct,Time Taken
gpt2:latest,1,default,N/A,I gave John the button.,I gave John the wall.,-2.5000,-2.0000,-0.5000,✗,6.6883
gpt2:latest,2,default,N/A,She ate the apple.,She ate the computer.,-2.0000,-2.0000,0.0000,✗,4.7473
gpt2:latest,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,-3.5000,-3.5000,0.0000,✗,0.2093
gpt2:latest,4,default,N/A,I used to play chess,I used to play pills,-2.5000,-2.0000,-0.5000,✗,4.8486
gpt2:latest,5,default,N/A,I handed over a book to him,I handed over a wall to him,-2.0000,-2.0000,0.0000,✗,5.5373
gpt2:latest,6,default,N/A,I eat biscuit with tea,I eat plate with tea,-1.5000,-1.5000,0.0000,✗,1.2921
gpt2:latest,7,default,N/A,I ordered a cycle,I ordered a mountain,-2.0000,-2.0000,0.0000,✗,0.2902
gpt2:latest,8,default,N/A,I gave him a button,I gave him a bridge,-2.0000,-2.5000,0.5000,✓,5.3882
gpt2:latest,9,default,N/A,I ate a tablet,I ate an iPad,-2.5000,-2.0000,-0.5000,✗,9.6674
gpt2:latest,10,default,N/A,He and I drank coffee together,He and I drank stones together,-2.5000,-2.5000,0.0000,✗,5.2839
gpt2:latest,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,-4.0000,2.5000,-6.5000,✗,5.7047
gpt2:latest,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,-3.5000,-3.5000,0.0000,✗,4.6164
gpt2:latest,13,default,N/A,She read the book,She drank the book,-2.0000,-2.0000,0.0000,✗,0.1304
gpt2:latest,14,default,N/A,He painted the wall,He painted the time,-2.0000,-2.0000,0.0000,✗,5.7283
gpt2:latest,15,default,N/A,She drinks water every day,She drinks furniture every day,-2.5000,-2.5000,0.0000,✗,5.7871
gpt2:latest,16,default,N/A,I answered the question,I answered the skyscraper,-2.0000,-2.0000,0.0000,✗,0.3713
gpt2:latest,17,default,N/A,She picked up a pen,She picked up the sky,-2.5000,-2.5000,0.0000,✗,6.9781
gpt2:latest,18,default,N/A,He poured a juice,He poured a tree,-2.0000,-2.0000,0.0000,✗,7.5743
