BLIMP Evaluation Results
Model,bert-base-uncased
Overall Accuracy,84.00%
Correct,42
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,79.17%,19,24
SELECTIONAL_PREFERENCE,88.46%,23,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,-38.1206,-35.5221,-2.5985,✗
2,ARG_STRUCTURE,edibility,She ate the apple.,She ate the computer.,-27.8794,-28.4467,0.5674,✓
3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,-35.4052,-34.3338,-1.0714,✗
4,ARG_STRUCTURE,animacy_subject,The teacher bought the laptop.,The laptop bought the teacher.,-35.2147,-46.3864,11.1717,✓
5,SELECTIONAL_PREFERENCE,verb_object_match,She read the book.,She drank the book.,-26.3031,-30.0417,3.7386,✓
6,SELECTIONAL_PREFERENCE,concreteness,He painted the wall.,He painted the idea.,-31.9391,-32.0680,0.1289,✓
7,SELECTIONAL_PREFERENCE,physical_entity,The dog chased the cat.,The dog chased the theory.,-36.2375,-42.3439,6.1064,✓
8,SELECTIONAL_PREFERENCE,physical_action,She opened the door.,She opened the democracy.,-24.8132,-33.5327,8.7195,✓
9,SELECTIONAL_PREFERENCE,wearability,He wore a hat.,He wore a building.,-31.0724,-31.1138,0.0414,✓
10,SELECTIONAL_PREFERENCE,abstractness,They discussed the problem.,They discussed the rock.,-28.7779,-33.1466,4.3687,✓
11,ARG_STRUCTURE,agent_patient_reversal,The student wrote an essay.,The essay wrote a student.,-28.8941,-39.6464,10.7523,✓
12,SELECTIONAL_PREFERENCE,liquid_requirement,She drinks water every day.,She drinks furniture every day.,-41.3074,-45.8172,4.5098,✓
13,SELECTIONAL_PREFERENCE,climbability,He climbed the mountain.,He climbed the thought.,-29.8128,-31.6596,1.8467,✓
14,ARG_STRUCTURE,causative_direction,The chef cooked the meal.,The meal cooked the chef.,-37.1210,-44.4329,7.3119,✓
15,SELECTIONAL_PREFERENCE,information_object,She answered the question.,She answered the table.,-26.2054,-29.8454,3.6400,✓
16,SELECTIONAL_PREFERENCE,physical_breakability,He broke the glass.,He broke the hope.,-30.9698,-29.1581,-1.8117,✗
17,ARG_STRUCTURE,animacy_subject_emotion,The baby cried loudly.,The rock cried loudly.,-36.9211,-35.5951,-1.3259,✗
18,ARG_STRUCTURE,manipulability,She picked up the pen.,She picked up the sky.,-23.8430,-23.6861,-0.1570,✗
19,SELECTIONAL_PREFERENCE,auditory_object,He listened to music.,He listened to color.,-25.4262,-31.4002,5.9740,✓
20,ARG_STRUCTURE,creation_reversal,The artist drew a picture.,The picture drew an artist.,-37.3045,-40.6981,3.3936,✓
21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,-28.5665,-32.0528,3.4862,✓
22,SELECTIONAL_PREFERENCE,olfactory_object,He smelled the flowers.,He smelled the mathematics.,-27.9093,-32.6514,4.7421,✓
23,ARG_STRUCTURE,instruction_direction,The teacher taught the lesson.,The lesson taught the teacher.,-35.4521,-41.5078,6.0557,✓
24,SELECTIONAL_PREFERENCE,foldability,She folded the paper.,She folded the water.,-33.6694,-33.7728,0.1035,✓
25,SELECTIONAL_PREFERENCE,physical_repair,He repaired the car.,He repaired the democracy.,-30.4667,-36.1680,5.7013,✓
26,ARG_STRUCTURE,agent_patient,The child played with toys.,The toys played with child.,-39.9198,-37.6536,-2.2662,✗
27,SELECTIONAL_PREFERENCE,literal_planting,She planted the seeds.,She planted the ideas.,-30.3643,-32.9480,2.5837,✓
28,SELECTIONAL_PREFERENCE,physical_catching,He caught the fish.,He caught the concept.,-28.1207,-32.4213,4.3006,✓
29,ARG_STRUCTURE,force_direction,The wind blew the leaves.,The leaves blew the wind.,-36.0183,-38.7527,2.7344,✓
30,SELECTIONAL_PREFERENCE,physical_closure,She closed the window.,She closed the freedom.,-28.8008,-34.5955,5.7947,✓
31,SELECTIONAL_PREFERENCE,measurable_quantity,He measured the distance.,He measured the happiness.,-34.2805,-33.2116,-1.0689,✗
32,ARG_STRUCTURE,discovery_direction,The scientist discovered a cure.,The cure discovered a scientist.,-38.1608,-43.8210,5.6602,✓
33,SELECTIONAL_PREFERENCE,pourability,She poured the juice.,She poured the solid.,-31.4289,-33.0471,1.6182,✓
34,ARG_STRUCTURE,vehicle_control,He drove the car.,The car drove him.,-27.1460,-32.6242,5.4782,✓
35,ARG_STRUCTURE,thermal_causation,The sun melted the ice.,The ice melted the sun.,-41.0989,-41.8413,0.7423,✓
36,SELECTIONAL_PREFERENCE,washability,She washed the dishes.,She washed the thoughts.,-33.2095,-30.1666,-3.0429,✗
37,ARG_STRUCTURE,problem_solver,He solved the puzzle.,The puzzle solved him.,-30.3956,-34.9022,4.5066,✓
38,ARG_STRUCTURE,professional_role,The doctor examined the patient.,The patient examined the doctor.,-34.1071,-38.9654,4.8583,✓
39,SELECTIONAL_PREFERENCE,physical_cutting,She cut the bread.,She cut the silence.,-30.7916,-32.1423,1.3507,✓
40,ARG_STRUCTURE,construction_agent,He built the house.,The house built him.,-29.4952,-36.5478,7.0526,✓
41,ARG_STRUCTURE,wetting_direction,The rain wet the ground.,The ground wet the rain.,-37.9489,-43.0156,5.0667,✓
42,ARG_STRUCTURE,cognitive_agent,She memorized the poem.,The poem memorized her.,-37.7733,-47.1509,9.3777,✓
43,SELECTIONAL_PREFERENCE,lockability,He locked the door.,He locked the freedom.,-31.1357,-37.5750,6.4394,✓
44,ARG_STRUCTURE,evaluation_direction,The teacher graded the tests.,The tests graded the teacher.,-39.4999,-43.7619,4.2620,✓
45,SELECTIONAL_PREFERENCE,groomability,She combed her hair.,She combed her thoughts.,-32.8194,-36.3772,3.5577,✓
46,SELECTIONAL_PREFERENCE,physical_lifting,He lifted the box.,He lifted the sadness.,-30.1916,-32.1884,1.9968,✓
47,ARG_STRUCTURE,combustion_direction,The fire burned the wood.,The wood burned the fire.,-39.0655,-39.1834,0.1178,✓
48,ARG_STRUCTURE,text_creation,She typed the letter.,The letter typed her.,-30.5468,-35.4806,4.9338,✓
