Sentence,Word Count,GPT-2 Log Prob,GPT-2 Normalized,GPT-2 Rank,BERT Log Prob,BERT Normalized,BERT Rank
The cat sat on the mat.,6,-27.0150,-4.5025,25,-35.4103,-5.9017,21
She ate breakfast this morning.,5,-22.2770,-4.4554,24,-42.5525,-8.5105,146
He drove to work yesterday.,5,-25.2131,-5.0426,53,-34.4625,-6.8925,54
The children played in the park.,6,-22.3637,-3.7273,8,-30.4686,-5.0781,5
I bought groceries at the store.,6,-27.1435,-4.5239,27,-37.0811,-6.1802,31
The sun rises in the east.,6,-21.5138,-3.5856,7,-30.9851,-5.1642,7
Birds fly in the sky.,5,-23.5567,-4.7113,36,-30.3543,-6.0709,27
She read a book before bed.,6,-24.0512,-4.0085,11,-34.3262,-5.7210,18
He drinks coffee every morning.,5,-22.2642,-4.4528,23,-46.1252,-9.2250,178
The teacher explained the lesson.,5,-25.1390,-5.0278,52,-34.9785,-6.9957,55
They walked along the beach.,5,-20.5218,-4.1044,13,-31.9567,-6.3913,39
Rain falls from the clouds.,5,-19.8378,-3.9676,10,-32.7651,-6.5530,41
The dog barked at the mailman.,6,-31.3215,-5.2202,61,-46.2197,-7.7033,93
She answered the phone quickly.,5,-21.2207,-4.2441,16,-35.8094,-7.1619,59
He fixed the broken computer.,5,-25.8370,-5.1674,58,-42.6946,-8.5389,148
The baby cried for her mother.,6,-26.0420,-4.3403,17,-33.2997,-5.5500,10
I listened to music on my phone.,7,-24.7635,-3.5376,6,-30.8580,-4.4083,2
The flowers bloomed in spring.,5,-28.0325,-5.6065,77,-41.1367,-8.2273,128
She cooked dinner for the family.,6,-25.4148,-4.2358,15,-33.8569,-5.6428,12
He painted the living room walls.,6,-28.4162,-4.7360,37,-37.5191,-6.2532,35
The students took notes in class.,6,-26.0807,-4.3468,18,-35.3646,-5.8941,20
I wrote a letter to my friend.,7,-23.7700,-3.3957,4,-29.8181,-4.2597,1
The doctor examined the patient.,5,-21.0119,-4.2024,14,-34.1071,-6.8214,52
She planted seeds in the garden.,6,-27.6460,-4.6077,31,-36.9378,-6.1563,30
He cleaned the kitchen after dinner.,6,-28.0590,-4.6765,35,-33.8942,-5.6490,13
The artist painted a beautiful landscape.,6,-32.0026,-5.3338,66,-39.5605,-6.5934,42
They discussed the economic situation.,5,-22.6169,-4.5234,26,-30.9479,-6.1896,33
The scientist conducted an important experiment.,6,-32.8170,-5.4695,72,-42.2839,-7.0473,56
She memorized the entire poem.,5,-25.7795,-5.1559,57,-40.9234,-8.1847,125
He repaired the antique clock.,5,-29.6367,-5.9273,97,-43.5407,-8.7081,160
The chef prepared an elaborate meal.,6,-31.7336,-5.2889,64,-44.8408,-7.4735,81
They debated philosophical questions.,4,-27.3114,-6.8278,141,-35.5368,-8.8842,168
She solved the mathematical equation.,5,-26.0279,-5.2056,59,-37.1806,-7.4361,76
He constructed a wooden birdhouse.,5,-31.7553,-6.3511,119,-50.3079,-10.0616,200
The musician composed a symphony.,5,-33.2611,-6.6522,132,-39.1336,-7.8267,103
They analyzed the historical data.,5,-23.7698,-4.7540,38,-40.6457,-8.1291,122
She translated the ancient text.,5,-27.0547,-5.4109,68,-35.9965,-7.1993,61
He diagnosed the medical condition.,5,-25.0238,-5.0048,50,-37.5880,-7.5176,84
The architect designed the building.,5,-26.0334,-5.2067,60,-40.6314,-8.1263,121
They negotiated the business contract.,5,-29.3705,-5.8741,92,-39.9906,-7.9981,110
The horse galloped across the field.,6,-28.0353,-4.6725,34,-44.5918,-7.4320,74
The fish swam in the ocean.,6,-27.5976,-4.5996,30,-34.6002,-5.7667,19
The bee pollinated the flowers.,5,-29.5078,-5.9016,94,-47.2688,-9.4538,181
The lion roared in the jungle.,6,-31.5641,-5.2607,63,-37.0990,-6.1832,32
The owl hooted at night.,5,-35.9806,-7.1961,162,-49.0624,-9.8125,191
The rabbit hopped through the grass.,6,-34.4447,-5.7408,88,-42.3307,-7.0551,57
The squirrel gathered nuts for winter.,6,-47.7278,-7.9546,192,-50.5406,-8.4234,143
The dolphin jumped out of the water.,7,-24.5677,-3.5097,5,-35.6523,-5.0932,6
The snake slithered under the rock.,6,-32.6192,-5.4365,69,-49.0627,-8.1771,124
The eagle soared through the sky.,6,-26.1108,-4.3518,19,-38.2740,-6.3790,38
The frog croaked by the pond.,6,-40.2873,-6.7146,137,-54.3703,-9.0617,175
The bear hibernated in the cave.,6,-29.6148,-4.9358,46,-52.1008,-8.6835,157
The turtle moved slowly across the sand.,7,-34.8046,-4.9721,48,-46.4769,-6.6396,44
The butterfly landed on the flower.,6,-32.8550,-5.4758,73,-40.0324,-6.6721,46
The spider spun a web.,5,-30.5765,-6.1153,104,-37.0689,-7.4138,72
She drank the chair.,4,-26.2616,-6.5654,130,-32.6334,-8.1584,123
He ate the table.,4,-22.4448,-5.6112,78,-29.8904,-7.4726,80
They cooked the stone.,4,-24.7704,-6.1926,109,-32.8544,-8.2136,127
I wore the water.,4,-25.5943,-6.3986,123,-32.3953,-8.0988,119
She read the mountain.,4,-24.2069,-6.0517,99,-33.2157,-8.3039,134
He wrote the cloud.,4,-27.3414,-6.8353,143,-30.4010,-7.6002,86
They sang the building.,4,-28.7623,-7.1906,161,-33.2279,-8.3070,135
I painted the democracy.,4,-30.3521,-7.5880,178,-34.7998,-8.6999,158
She drove the happiness.,4,-30.7811,-7.6953,185,-31.8813,-7.9703,107
He bought the sadness.,4,-28.7247,-7.1812,159,-29.7639,-7.4410,77
They sold the anger.,4,-26.0755,-6.5189,126,-33.0744,-8.2686,131
I cleaned the idea.,4,-28.3198,-7.0800,156,-31.9773,-7.9943,109
She washed the thought.,4,-28.1306,-7.0326,152,-30.1751,-7.5438,85
He broke the freedom.,4,-24.9102,-6.2276,113,-31.2719,-7.8180,101
They fixed the justice.,4,-30.5122,-7.6281,180,-36.1578,-9.0394,174
I opened the concept.,4,-24.9124,-6.2281,114,-32.0118,-8.0030,112
She closed the theory.,4,-25.5651,-6.3913,122,-35.2145,-8.8036,166
He lifted the philosophy.,4,-29.3507,-7.3377,169,-34.5330,-8.6332,155
They carried the mathematics.,4,-28.1365,-7.0341,153,-30.8098,-7.7025,92
I threw the wisdom.,4,-27.8987,-6.9747,149,-34.3185,-8.5796,153
The wall gave John the button.,6,-39.1604,-6.5267,127,-46.8664,-7.8111,100
The book read the student.,5,-35.9243,-7.1849,160,-36.0698,-7.2140,62
The food ate the person.,5,-29.2601,-5.8520,90,-37.1193,-7.4239,73
The car drove the man.,5,-30.3363,-6.0673,100,-38.5489,-7.7098,95
The house built the carpenter.,5,-37.3346,-7.4669,173,-43.0694,-8.6139,154
The lesson taught the teacher.,5,-34.6627,-6.9325,145,-41.5078,-8.3016,133
The question answered the student.,5,-33.7778,-6.7556,138,-37.4954,-7.4991,83
The medicine cured the doctor.,5,-31.2021,-6.2404,115,-38.4765,-7.6953,90
The painting painted the artist.,5,-35.6395,-7.1279,157,-41.7581,-8.3516,139
The song sang the singer.,5,-35.7133,-7.1427,158,-35.3251,-7.0650,58
The story wrote the author.,5,-32.6489,-6.5298,128,-37.2424,-7.4485,79
The picture drew the photographer.,5,-36.1073,-7.2215,163,-43.5364,-8.7073,159
The movie watched the audience.,5,-31.9976,-6.3995,124,-40.0996,-8.0199,114
The play acted the performers.,5,-40.6918,-8.1384,198,-42.8716,-8.5743,150
The dance danced the dancers.,5,-34.1678,-6.8336,142,-40.9804,-8.1961,126
The meal cooked the chef.,5,-37.4296,-7.4859,175,-44.4329,-8.8866,169
The poem wrote the poet.,5,-35.0964,-7.0193,151,-36.1795,-7.2359,64
The sculpture carved the sculptor.,5,-40.5409,-8.1082,196,-48.8453,-9.7691,188
The symphony conducted the conductor.,5,-36.3204,-7.2641,168,-38.9758,-7.7952,98
The experiment performed the scientist.,5,-39.7158,-7.9432,191,-44.4950,-8.8990,171
He put the mountain in his pocket.,7,-28.7252,-4.1036,12,-38.4055,-5.4865,9
She lifted the entire city.,5,-31.3165,-6.2633,117,-32.6442,-6.5288,40
They ate the building.,4,-23.5477,-5.8869,93,-31.0179,-7.7545,96
I drank the ocean.,4,-24.8075,-6.2019,110,-30.8302,-7.7076,94
She wore the skyscraper.,4,-29.9414,-7.4853,174,-33.9495,-8.4874,145
He carried the planet.,4,-24.6746,-6.1686,106,-28.9246,-7.2312,63
They folded the continent.,4,-27.8979,-6.9745,148,-33.1912,-8.2978,132
I pocketed the universe.,4,-27.4033,-6.8508,144,-39.6089,-9.9022,196
She swallowed the sun.,4,-24.2883,-6.0721,101,-29.6301,-7.4075,71
He threw the moon.,4,-22.5103,-5.6276,80,-30.6483,-7.6621,89
They caught the galaxy.,4,-24.6588,-6.1647,105,-34.9551,-8.7388,161
I squeezed the earth.,4,-26.7174,-6.6794,134,-31.2888,-7.8222,102
She pushed the mountain range.,5,-31.8197,-6.3639,121,-36.5676,-7.3135,67
He pulled the entire forest.,5,-32.1391,-6.4278,125,-36.9539,-7.3908,70
They shrank the volcano.,4,-28.9099,-7.2275,165,-44.4920,-11.1230,212
I compressed the river.,4,-27.8262,-6.9566,147,-33.2911,-8.3228,137
She packed the desert in a box.,7,-35.6460,-5.0923,54,-42.4765,-6.0681,26
He mailed the castle.,4,-30.2942,-7.5736,177,-38.9073,-9.7268,186
They stored the bridge in a drawer.,7,-33.8143,-4.8306,42,-40.0040,-5.7149,17
I hid the stadium under my bed.,7,-34.5567,-4.9367,47,-39.3887,-5.6270,11
The rock cried loudly.,4,-28.9363,-7.2341,166,-35.5951,-8.8988,170
The table ran quickly.,4,-27.9715,-6.9929,150,-34.2726,-8.5682,149
The stone thought deeply.,4,-31.7655,-7.9414,190,-35.3183,-8.8296,167
The chair dreamed vividly.,4,-35.3105,-8.8276,209,-41.7230,-10.4307,204
The lamp hoped sincerely.,4,-42.5634,-10.6408,221,-45.1032,-11.2758,214
The book worried constantly.,4,-33.9969,-8.4992,201,-39.3076,-9.8269,192
The pen feared greatly.,4,-34.6099,-8.6525,206,-38.4741,-9.6185,183
The door desired strongly.,4,-36.2155,-9.0539,212,-39.1610,-9.7902,189
The window believed firmly.,4,-37.0074,-9.2519,214,-39.6228,-9.9057,197
The wall remembered clearly.,4,-31.9113,-7.9778,193,-40.1440,-10.0360,199
The floor forgot easily.,4,-34.2597,-8.5649,202,-38.5565,-9.6391,184
The ceiling loved deeply.,4,-36.7333,-9.1833,213,-39.5137,-9.8784,193
The carpet hated intensely.,4,-36.0001,-9.0000,211,-41.5270,-10.3817,203
The curtain wished silently.,4,-39.6021,-9.9005,216,-39.0462,-9.7615,187
