BLIMP Evaluation Results
Model,gpt2
Overall Accuracy,100.00%
Correct,50
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,100.00%,24,24
SELECTIONAL_PREFERENCE,100.00%,26,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,-28.8837,-29.1877,0.3040,✓
2,ARG_STRUCTURE,edibility,She ate the apple.,She ate the computer.,-20.0870,-24.4665,4.3795,✓
3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,-21.5330,-27.7888,6.2558,✓
4,ARG_STRUCTURE,animacy_subject,The teacher bought the laptop.,The laptop bought the teacher.,-29.9261,-40.4808,10.5546,✓
5,SELECTIONAL_PREFERENCE,verb_object_match,She read the book.,She drank the book.,-14.9532,-23.8956,8.9425,✓
6,SELECTIONAL_PREFERENCE,concreteness,He painted the wall.,He painted the idea.,-21.1374,-23.8910,2.7536,✓
7,SELECTIONAL_PREFERENCE,physical_entity,The dog chased the cat.,The dog chased the theory.,-25.9038,-35.3355,9.4318,✓
8,SELECTIONAL_PREFERENCE,physical_action,She opened the door.,She opened the democracy.,-13.2550,-28.4125,15.1575,✓
9,SELECTIONAL_PREFERENCE,wearability,He wore a hat.,He wore a building.,-19.3946,-27.8237,8.4291,✓
10,SELECTIONAL_PREFERENCE,abstractness,They discussed the problem.,They discussed the rock.,-18.6295,-25.1702,6.5407,✓
11,ARG_STRUCTURE,agent_patient_reversal,The student wrote an essay.,The essay wrote a student.,-25.7723,-38.9754,13.2032,✓
12,SELECTIONAL_PREFERENCE,liquid_requirement,She drinks water every day.,She drinks furniture every day.,-22.7082,-31.3255,8.6173,✓
13,SELECTIONAL_PREFERENCE,climbability,He climbed the mountain.,He climbed the thought.,-20.4237,-28.1005,7.6768,✓
